title_list,view,upload_date,comment,likes_num,unlikes_num
스타크래프트 2 - 10주년 게임 업데이트,"조회수 148,118회",2020. 7. 27.,"댓글 1,017개","좋아요 2,025개",싫어요 61개
스타크래프트 II – 워 체스트 6 미리보기,"조회수 32,214회",2020. 6. 11.,댓글 178개,좋아요 197개,싫어요 59개
블리자드 커뮤니티에 전하는 2020년 새해 인사,"조회수 53,569회",2020. 1. 22.,댓글 521개,좋아요 616개,싫어요 519개
"[디아블로 III] 19시즌 야만용사(황야), 성전사(용기) 세팅 및 운영법","조회수 37,516회",2019. 12. 14.,댓글 119개,좋아요 329개,싫어요 59개
협동전 사령관 미리보기: 멩스크,"조회수 176,909회",2019. 11. 26.,댓글 891개,"좋아요 1,649개",싫어요 74개
디아블로 IV 게임플레이 트레일러,"조회수 908,284회",2019. 11. 1.,"댓글 2,629개","좋아요 2,796개","싫어요 1,383개"
디아블로 IV 공식 시네마틱 영상 | 세 명이 오리라,"조회수 2,539,804회",2019. 11. 1.,"댓글 6,815개","좋아요 16,506개","싫어요 1,339개"
2019 블리자드 콘텐츠 어워드 수상작 하이라이트,"조회수 16,853회",2019. 10. 25.,댓글 152개,좋아요 169개,싫어요 263개
블리즈컨 2019 가상 입장권: 게임 내 아이템,"조회수 25,970회",2019. 10. 6.,댓글 866개,좋아요 85개,"싫어요 1,505개"
