title_list,view,upload_date,comment,likes_num,unlikes_num
[Cass] #집돼지챌린지 : 돼지사랑꾼을 찾네,"조회수 97,891회",2020. 4. 10.,댓글 1개,NaN,NaN
다시 빛날 스무살의 2020,"조회수 77,905회",2020. 4. 7.,댓글 15개,NaN,NaN
다시 빛날 우리의 2020,"조회수 172,788회",2020. 4. 7.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 염소자리,"조회수 2,663회",2020. 1. 29.,댓글 3개,NaN,NaN
[Cass] 2020년 별자리 운세 - 사수자리,"조회수 2,092회",2020. 1. 29.,댓글 1개,NaN,NaN
[Cass] 2020년 별자리 운세 - 전갈자리,"조회수 2,448회",2020. 1. 29.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 천칭자리,"조회수 1,398회",2020. 1. 29.,댓글 0개,NaN,NaN
[Cass] 카스 별자리캔 한정 출시 (6s),조회수 813회,2020. 1. 28.,댓글 0개,NaN,NaN
[Cass] 손나은 x 카스 별자리캔 (6s),조회수 862회,2020. 1. 28.,댓글 0개,NaN,NaN
[Cass] 카스 별자리캔 한정 출시 - 손나은 점성술사 편,"조회수 892,570회",2020. 1. 28.,댓글 6개,NaN,NaN
[Cass] 2020년 별자리 운세 - 처녀자리 편,"조회수 1,883회",2020. 1. 27.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 사자자리 편,"조회수 2,229회",2020. 1. 27.,댓글 1개,NaN,NaN
[Cass] 2020년 별자리 운세 - 게자리 편,"조회수 1,867회",2020. 1. 27.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 쌍둥이자리 편,"조회수 1,994회",2020. 1. 27.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 황소자리 편,"조회수 2,255회",2020. 1. 22.,댓글 2개,NaN,NaN
[Cass] 2020년 별자리 운세 - 양자리 편,"조회수 2,095회",2020. 1. 22.,댓글 4개,NaN,NaN
[Cass] 2020년 별자리 운세 - 물고기자리 편,"조회수 2,306회",2020. 1. 22.,댓글 0개,NaN,NaN
[Cass] 2020년 별자리 운세 - 물병자리 편,"조회수 3,195회",2020. 1. 22.,댓글 0개,NaN,NaN
[CBP2019 솔크_타로운세편],"조회수 52,732회",2019. 12. 29.,댓글 0개,NaN,NaN
[CBP2019 솔크_이별택시편],"조회수 68,503회",2019. 12. 26.,댓글 2개,NaN,NaN
[CBP2019 솔크_헤어진 연인편],"조회수 56,576회",2019. 12. 23.,댓글 0개,NaN,NaN
[표절제로카피추-반짝반짝CBP🎧],"조회수 164,297회",2019. 12. 18.,댓글 11개,NaN,NaN
[CBP 2019 월드카운트다운] Are You Ready? (15s),"조회수 797,585회",2019. 12. 11.,댓글 0개,NaN,NaN
[CBP 2019 월드카운트다운] Are You Ready? (30s),"조회수 3,541회",2019. 12. 11.,댓글 2개,NaN,NaN
[CBP 2019 월드카운트다운] 우주선을 찾습니다 (Bumper 3),조회수 506회,2019. 12. 11.,댓글 1개,NaN,NaN
[CBP 2019 월드카운트다운] 우주선을 찾습니다 (Bumper 2),조회수 438회,2019. 12. 11.,댓글 0개,NaN,NaN
[CBP 2019 월드카운트다운] 우주선을 찾습니다 (Bumper 1),조회수 431회,2019. 12. 11.,댓글 0개,NaN,NaN
[CBP 2019 월드카운트다운] 우주선을 찾습니다,"조회수 7,476회",2019. 12. 11.,댓글 0개,NaN,NaN
CBP 2019 월드카운트다운 Teaser Film,"조회수 2,617회",2019. 11. 7.,댓글 0개,NaN,NaN
