title_list,view,upload_date,comment,likes_num,unlikes_num
LG WHISEN 시스템에어컨 - 듀얼베인 파워바람 편,조회수 365회,2020. 9. 3.,댓글 1개,좋아요 4개,싫어요 1개
LG WHISEN 시스템에어컨 - 듀얼베인 집중력강화바람 편,조회수 433회,2020. 9. 3.,댓글 0개,좋아요 8개,싫어요 없음
LG WHISEN 시스템에어컨 - 듀얼베인 자동맞춤바람 편,조회수 385회,2020. 9. 3.,댓글 0개,좋아요 6개,싫어요 없음
LG Explorer Project - 익스플로러 프로젝트 온라인 공개행사 초청장,"조회수 444,364회",2020. 9. 1.,댓글 18개,좋아요 74개,싫어요 4개
"새롭게 만난 LG전자 미디어 플랫폼, LiVE LG OPEN!","조회수 56,198회",2020. 8. 30.,댓글 14개,좋아요 86개,싫어요 1개
[LG전자 51구역] 컬러와 패턴의 비밀? 덕수는 알고 있다?!,"조회수 169,666회",2020. 8. 28.,댓글 26개,좋아요 69개,싫어요 3개
LG 코드제로 M9 - 기능알아보기 02. 아침시간이 바쁜 워킹맘 편,"조회수 8,334회",2020. 8. 26.,댓글 1개,좋아요 11개,싫어요 1개
LG 코드제로 M9 - 기능알아보기 01.반려견 폴리의 하루 편,"조회수 10,084회",2020. 8. 26.,댓글 3개,좋아요 18개,싫어요 2개
LG 코드제로 M9 ThinQ - 디지털 런칭 쇼케이스 편,"조회수 31,055회",2020. 8. 26.,댓글 22개,좋아요 98개,싫어요 3개
Life's Good 브랜드 필름 - Behind the Scene 편,조회수 781회,2020. 8. 21.,댓글 8개,좋아요 11개,싫어요 없음
Life's Good 브랜드 필름 - 확장 편,조회수 547회,2020. 8. 21.,댓글 4개,좋아요 10개,싫어요 없음
Life's Good 브랜드 필름 - 메인 편,조회수 822회,2020. 8. 21.,댓글 3개,좋아요 10개,싫어요 없음
LG TROMM 건조기 STEAM - 17KG 초대형 건조기 ④다양한 셔츠들 편,"조회수 2,137회",2020. 8. 20.,댓글 2개,좋아요 44개,싫어요 없음
LG TROMM 건조기 STEAM - 17KG 초대형 건조기 ③덩치 큰 인형 편,"조회수 2,250회",2020. 8. 20.,댓글 2개,좋아요 35개,싫어요 1개
LG TROMM 건조기 STEAM - 17KG 초대형 건조기 ②많은 양의 수건들 편,"조회수 2,331회",2020. 8. 20.,댓글 2개,좋아요 67개,싫어요 없음
LG TROMM 건조기 STEAM - 17KG 초대형 건조기 ①부피가 큰 이불 편,"조회수 3,185회",2020. 8. 20.,댓글 4개,좋아요 115개,싫어요 1개
LG TROMM 건조기 STEAM - 17KG 초대형 건조기 본편,"조회수 2,844,754회",2020. 8. 20.,댓글 6개,좋아요 40개,싫어요 4개
LG 모니터 360 - 6가지 방향으로 자유롭게 쓰는 모니터,"조회수 3,179회",2020. 8. 16.,댓글 8개,좋아요 30개,싫어요 4개
LG 실링팬 - 사계절 쓰는 프리미엄 천장형 선풍기,"조회수 4,884회",2020. 8. 10.,댓글 14개,좋아요 45개,싫어요 1개
LG 올레드 TV - 인류의 컬러 편 (올레드로 업그레이드 프로모션),"조회수 1,023,073회",2020. 8. 9.,댓글 14개,좋아요 51개,싫어요 3개
LG TONE Free - Vibe : 마카롱 케이스 편,"조회수 5,341,288회",2020. 8. 7.,댓글 18개,좋아요 52개,싫어요 6개
LG TONE Free - Groove : 마카롱 케이스 편,"조회수 5,589,830회",2020. 8. 7.,댓글 13개,좋아요 40개,싫어요 10개
LG WHISEN 시스템에어컨 - 듀얼베인,"조회수 3,132회",2020. 8. 5.,댓글 3개,좋아요 31개,싫어요 2개
LG WHISEN 에어컨 X 원더걸스 혜림 - 새신부 혜림의 신혼 에어컨 장만기,"조회수 1,939회",2020. 8. 4.,댓글 5개,좋아요 36개,싫어요 1개
[엘궁엘답] LG TONE Free - 기능 편,"조회수 65,784회",2020. 8. 3.,댓글 6개,좋아요 28개,싫어요 4개
